日期, 总收入(元), 底部广告, 文中广告
2022-05-19, 0.05, 0.05, 0.00
2022-05-18, 0.03, 0.03, 0.00
2022-05-17, 0.00, 0.00, 0.00
2022-05-16, 0.03, 0.03, 0.00
2022-05-15, 0.01, 0.01, 0.00
2022-05-14, 0.00, 0.00, 0.00
2022-05-13, 0.00, 0.00, 0.00
2022-05-12, 1.20, 1.20, 0.00
2022-05-11, 0.01, 0.01, 0.00
2022-05-10, 2.57, 2.57, 0.00
2022-05-09, 0.04, 0.04, 0.00
2022-05-08, 0.07, 0.07, 0.00
2022-05-07, 0.00, 0.00, 0.00
2022-05-06, 0.03, 0.03, 0.00
2022-05-05, 0.01, 0.00, 0.01
2022-05-04, 0.00, 0.00, 0.00
2022-05-03, 0.09, 0.09, 0.00
2022-05-02, 0.02, 0.02, 0.00
2022-05-01, 0.00, 0.00, 0.00
2022-04-30, 0.02, 0.02, 0.00
2022-04-29, 0.03, 0.03, 0.00
2022-04-28, 0.01, 0.01, 0.00
2022-04-27, 0.04, 0.04, 0.00
2022-04-26, 0.02, 0.02, 0.00
2022-04-25, 0.02, 0.02, 0.00
2022-04-24, 0.12, 0.12, 0.00
2022-04-23, 0.54, 0.54, 0.00
2022-04-22, 0.04, 0.04, 0.00
2022-04-21, 0.18, 0.18, 0.00
2022-04-20, 0.44, 0.44, 0.00
2022-04-19, 2.03, 2.03, 0.00
2022-04-18, 9.72, 9.72, 0.00
2022-04-17, 0.00, 0.00, 0.00
2022-04-16, 0.05, 0.05, 0.00
2022-04-15, 0.00, 0.00, 0.00
2022-04-14, 0.02, 0.02, 0.00
2022-04-13, 0.06, 0.06, 0.00
2022-04-12, 0.00, 0.00, 0.00
2022-04-11, 0.04, 0.04, 0.00
2022-04-10, 0.05, 0.05, 0.00
2022-04-09, 0.01, 0.01, 0.00
2022-04-08, 0.01, 0.01, 0.00
2022-04-07, 0.01, 0.01, 0.00
2022-04-06, 0.03, 0.03, 0.00
2022-04-05, 0.00, 0.00, 0.00
2022-04-04, 0.01, 0.01, 0.00
2022-04-03, 0.03, 0.03, 0.00
2022-04-02, 0.40, 0.40, 0.00
2022-04-01, 0.42, 0.42, 0.00
2022-03-31, 0.07, 0.07, 0.00
2022-03-30, 0.05, 0.05, 0.00
2022-03-29, 0.06, 0.06, 0.00
2022-03-28, 0.03, 0.03, 0.00
2022-03-27, 0.15, 0.15, 0.00
2022-03-26, 0.09, 0.09, 0.00
2022-03-25, 0.07, 0.07, 0.00
2022-03-24, 0.04, 0.04, 0.00
2022-03-23, 0.28, 0.28, 0.00
2022-03-22, 0.02, 0.02, 0.00
2022-03-21, 0.13, 0.13, 0.00
2022-03-20, 0.02, 0.02, 0.00
2022-03-19, 0.14, 0.13, 0.01
2022-03-18, 0.69, 0.69, 0.00
2022-03-17, 0.32, 0.32, 0.00
2022-03-16, 0.78, 0.78, 0.00
2022-03-15, 0.10, 0.10, 0.00
2022-03-14, 1.31, 1.31, 0.00
2022-03-13, 0.22, 0.22, 0.00
2022-03-12, 0.05, 0.05, 0.00
2022-03-11, 0.14, 0.14, 0.00
2022-03-10, 0.09, 0.09, 0.00
2022-03-09, 0.08, 0.08, 0.00
2022-03-08, 0.26, 0.26, 0.00
2022-03-07, 0.20, 0.19, 0.01
2022-03-06, 0.61, 0.60, 0.00
2022-03-05, 10.94, 10.94, 0.00
2022-03-04, 18.05, 18.04, 0.00
2022-03-03, 1.93, 1.93, 0.00
2022-03-02, 0.06, 0.06, 0.00
2022-03-01, 0.02, 0.02, 0.00
2022-02-28, 0.04, 0.04, 0.00
2022-02-27, 0.01, 0.01, 0.00
2022-02-26, 1.04, 1.04, 0.00
2022-02-25, 0.01, 0.01, 0.00
2022-02-24, 0.01, 0.00, 0.01
2022-02-23, 0.05, 0.04, 0.00
2022-02-22, 0.01, 0.01, 0.00
2022-02-21, 0.06, 0.06, 0.00
2022-02-20, 0.01, 0.01, 0.00
2022-02-19, 0.05, 0.05, 0.00
2022-02-18, 0.01, 0.01, 0.00
