日期, 总收入(元), 底部广告, 文中广告
2022-02-17, 0.11, 0.11, 0.00
2022-02-16, 0.05, 0.05, 0.00
2022-02-15, 0.00, 0.00, 0.00
2022-02-14, 0.02, 0.02, 0.00
2022-02-13, 0.21, 0.21, 0.00
2022-02-12, 1.10, 1.09, 0.00
2022-02-11, 1.37, 1.37, 0.00
2022-02-10, 0.04, 0.03, 0.00
2022-02-09, 0.07, 0.07, 0.00
2022-02-08, 0.05, 0.04, 0.00
2022-02-07, 0.04, 0.04, 0.00
2022-02-06, 0.01, 0.01, 0.00
2022-02-05, 0.00, 0.00, 0.00
2022-02-04, 0.01, 0.01, 0.00
2022-02-03, 0.03, 0.03, 0.00
2022-02-02, 0.00, 0.00, 0.00
2022-02-01, 0.00, 0.00, 0.00
2022-01-31, 0.00, 0.00, 0.00
2022-01-30, 0.02, 0.02, 0.00
2022-01-29, 0.73, 0.73, 0.00
2022-01-28, 0.01, 0.01, 0.00
2022-01-27, 0.00, 0.00, 0.00
2022-01-26, 0.00, 0.00, 0.00
2022-01-25, 0.00, 0.00, 0.00
2022-01-24, 0.01, 0.01, 0.00
2022-01-23, 0.01, 0.01, 0.00
2022-01-22, 0.02, 0.02, 0.00
2022-01-21, 0.03, 0.03, 0.00
2022-01-20, 0.03, 0.03, 0.00
2022-01-19, 0.03, 0.03, 0.00
2022-01-18, 0.00, 0.00, 0.00
2022-01-17, 0.05, 0.05, 0.00
2022-01-16, 0.42, 0.42, 0.00
2022-01-15, 0.12, 0.11, 0.00
2022-01-14, 2.61, 2.61, 0.00
2022-01-13, 0.54, 0.54, 0.00
2022-01-12, 0.71, 0.71, 0.00
2022-01-11, 4.31, 4.30, 0.01
2022-01-10, 3.74, 3.73, 0.01
2022-01-09, 0.05, 0.05, 0.00
2022-01-08, 0.10, 0.10, 0.00
2022-01-07, 0.35, 0.34, 0.00
2022-01-06, 0.02, 0.02, 0.00
2022-01-05, 0.16, 0.16, 0.00
2022-01-04, 0.11, 0.09, 0.02
2022-01-03, 0.34, 0.34, 0.00
2022-01-02, 0.09, 0.09, 0.00
2022-01-01, 3.04, 3.04, 0.00
2021-12-31, 0.11, 0.11, 0.00
2021-12-30, 0.52, 0.52, 0.00
2021-12-29, 0.24, 0.24, 0.00
2021-12-28, 0.13, 0.13, 0.00
2021-12-27, 0.01, 0.01, 0.00
2021-12-26, 0.30, 0.30, 0.00
2021-12-25, 0.30, 0.29, 0.00
2021-12-24, 1.29, 1.28, 0.01
2021-12-23, 9.28, 9.25, 0.03
2021-12-22, 0.24, 0.24, 0.00
2021-12-21, 1.40, 1.39, 0.01
2021-12-20, 5.31, 5.27, 0.03
2021-12-19, 0.03, 0.03, 0.00
2021-12-18, 0.06, 0.05, 0.00
2021-12-17, 0.04, 0.03, 0.01
2021-12-16, 0.06, 0.06, 0.01
2021-12-15, 0.03, 0.03, 0.00
2021-12-14, 0.00, 0.00, 0.00
2021-12-13, 0.08, 0.08, 0.00
2021-12-12, 0.03, 0.02, 0.01
2021-12-11, 0.05, 0.05, 0.00
2021-12-10, 0.04, 0.04, 0.00
2021-12-09, 0.07, 0.06, 0.01
2021-12-08, 0.02, 0.02, 0.00
2021-12-07, 0.03, 0.03, 0.00
2021-12-06, 0.08, 0.07, 0.01
2021-12-05, 0.04, 0.04, 0.00
2021-12-04, 0.05, 0.05, 0.00
2021-12-03, 0.08, 0.08, 0.00
2021-12-02, 0.07, 0.07, 0.01
2021-12-01, 0.11, 0.11, 0.00
2021-11-30, 0.17, 0.14, 0.03
2021-11-29, 0.00, 0.00, 0.00
2021-11-28, 0.01, 0.01, 0.00
2021-11-27, 0.05, 0.05, 0.00
2021-11-26, 0.04, 0.04, 0.00
2021-11-25, 0.03, 0.02, 0.02
2021-11-24, 0.15, 0.14, 0.00
2021-11-23, 0.06, 0.06, 0.00
2021-11-22, 0.14, 0.11, 0.03
2021-11-21, 0.04, 0.03, 0.01
2021-11-20, 0.02, 0.02, 0.00
2021-11-19, 0.07, 0.07, 0.00
